D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployment_fixed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,125.00,125.00,55079012500,15.00,37.00,0.70,21.37,34.86,52.72,46.86,55079012500,55079012500,2141.00,0.01,0.10,0.57,0.42,0.15,0.02,0.02,0.05,0.02,0.08,0.48,0.27,0.89,20302.44,19566559.64,-1.04,-0.73,0.72,0.12
 ,126.00,126.00,55079000300,26.00,68.00,1.30,20.05,96.63,52.45,99.00,55079000300,55079000300,3278.00,0.02,0.06,0.88,0.49,0.08,0.05,0.09,0.06,0.07,0.07,0.35,0.65,0.91,32216.21,36146879.11,-0.74,-0.44,1.88,-0.50
 ,127.00,127.00,55079005000,104.00,112.00,0.44,236.15,95.71,254.32,108.00,55079005000,55079005000,5256.00,0.04,0.11,0.46,0.22,0.31,0.09,0.04,0.04,0.05,0.15,0.27,0.48,0.88,16058.65,12277326.37,-0.13,-0.50,0.43,-0.12
 ,128.00,128.00,55079001600,86.00,94.00,0.51,169.00,118.71,184.72,135.71,55079001600,55079001600,2973.00,0.04,0.10,0.42,0.17,0.43,0.05,0.03,0.06,0.11,0.26,0.08,0.40,0.83,16023.76,14186850.03,0.16,-0.31,-0.09,-0.67
 ,129.00,129.00,55079017000,124.00,160.00,0.27,455.16,79.63,587.30,97.88,55079017000,55079017000,5958.00,0.05,0.13,0.42,0.11,0.29,0.04,0.20,0.65,0.12,0.39,0.07,0.64,0.84,11232.97,7594951.20,0.48,1.87,0.01,0.13
 ,130.00,130.00,55079020200,27.00,50.00,0.37,73.63,38.60,136.35,85.00,55079020200,55079020200,3535.00,0.01,0.06,0.75,0.26,0.20,0.06,0.20,0.33,0.01,0.11,0.18,0.35,0.80,12999.10,10222843.40,-1.01,1.08,0.69,-1.25
 ,131.00,131.00,55079021300,16.00,21.00,0.49,32.73,33.17,42.96,72.83,55079021300,55079021300,1699.00,0.01,0.13,0.35,0.16,0.15,0.03,0.13,0.20,0.02,0.10,0.17,0.42,0.86,15602.94,13626247.29,-0.31,0.55,0.17,0.13
 ,132.00,132.00,55079018900,11.00,42.00,0.24,45.95,51.00,175.45,101.83,55079018900,55079018900,1983.00,0.01,0.14,0.60,0.36,0.12,0.03,0.31,0.67,0.02,0.19,0.16,0.10,0.92,13141.77,6673556.77,-1.07,2.62,0.66,0.16
 ,133.00,133.00,55079185500,115.00,80.00,0.34,337.02,66.50,234.45,55.88,55079185500,55079185500,1790.00,0.06,0.12,0.24,0.10,0.52,0.12,0.01,0.00,0.18,0.44,0.10,0.05,0.70,13478.45,9512710.27,1.24,-0.79,-0.72,0.18
 ,134.00,134.00,55079186000,61.00,44.00,0.22,271.26,56.00,195.66,61.20,55079186000,55079186000,1550.00,0.02,0.06,0.11,0.07,0.42,0.10,0.00,0.03,0.21,0.46,0.15,0.32,0.73,11020.30,6269182.56,1.25,-0.74,-0.77,-0.31
 ,135.00,135.00,55079007800,41.00,126.00,0.25,163.32,23.14,501.91,78.57,55079007800,55079007800,3608.00,0.01,0.12,0.23,0.27,0.04,0.03,0.12,0.09,0.05,0.41,0.52,0.38,0.52,11388.29,6998536.79,-1.06,0.07,-1.92,0.83
 ,136.00,136.00,55079010700,46.00,112.00,0.24,194.54,26.63,473.67,68.00,55079010700,55079010700,2505.00,0.00,0.13,0.44,0.42,0.11,0.03,0.04,0.16,0.02,0.08,0.55,0.45,0.77,11823.92,6591854.71,-1.61,-0.25,-0.33,0.50
 ,137.00,137.00,55079014100,41.00,63.00,0.26,159.68,54.83,245.37,84.50,55079014100,55079014100,1562.00,0.08,0.19,0.01,0.03,0.70,0.06,0.03,0.06,0.09,0.47,0.16,0.35,0.85,12147.63,7157905.29,1.58,-0.42,-0.82,1.45
 ,138.00,138.00,55079021100,9.00,28.00,0.25,36.29,19.50,112.91,48.00,55079021100,55079021100,1405.00,0.03,0.07,0.64,0.30,0.18,0.01,0.07,0.15,0.06,0.06,0.30,0.24,0.91,10532.03,6913586.50,-0.60,-0.17,1.02,-0.77
 ,139.00,139.00,55079021400,41.00,64.00,0.50,82.78,16.40,129.21,29.00,55079021400,55079021400,3646.00,0.02,0.05,0.27,0.17,0.28,0.03,0.11,0.34,0.09,0.30,0.12,0.56,0.85,15684.05,13808513.59,0.00,0.69,-0.19,-0.91
 ,140.00,140.00,55079021600,36.00,74.00,1.43,25.20,24.80,51.80,46.20,55079021600,55079021600,4933.00,0.02,0.03,0.69,0.30,0.16,0.04,0.28,0.23,0.08,0.21,0.16,0.32,0.83,25392.91,39824499.78,-0.51,1.17,0.85,-1.24
 ,141.00,141.00,55079009800,92.00,75.00,0.17,541.40,125.17,441.36,78.50,55079009800,55079009800,1532.00,0.16,0.07,0.31,0.03,0.40,0.11,0.07,0.01,0.21,0.52,0.06,0.33,0.85,11153.81,4737352.83,2.12,-0.69,0.14,-0.20
 ,142.00,142.00,55079002100,134.00,115.00,0.35,386.45,115.00,331.66,95.60,55079002100,55079002100,2154.00,0.02,0.14,0.29,0.08,0.50,0.11,0.01,0.03,0.16,0.34,0.07,0.18,0.82,12593.60,9666657.48,0.92,-0.48,-0.29,0.15
 ,143.00,143.00,55079000500,80.00,161.00,1.56,51.22,64.00,103.08,71.11,55079000500,55079000500,3844.00,0.03,0.08,0.51,0.21,0.36,0.05,0.05,0.08,0.05,0.14,0.15,0.60,0.84,35741.99,43543637.77,-0.31,-0.26,0.32,-0.97
 ,144.00,144.00,55079006500,107.00,102.00,0.19,552.25,132.20,526.44,97.40,55079006500,55079006500,2109.00,0.13,0.11,0.36,0.09,0.48,0.08,0.04,0.01,0.26,0.46,0.11,0.14,0.77,9840.95,5401519.28,2.29,-0.99,0.22,0.45
 ,145.00,145.00,55079010800,30.00,103.00,0.13,239.37,22.80,821.83,84.60,55079010800,55079010800,2598.00,0.02,0.19,0.19,0.29,0.05,0.02,0.07,0.04,0.05,0.18,0.69,0.29,0.64,9347.24,3493990.70,-1.23,-0.41,-1.57,1.96
 ,146.00,146.00,55079001200,148.00,100.00,0.47,312.81,112.80,211.36,120.00,55079001200,55079001200,3224.00,0.10,0.05,0.17,0.16,0.53,0.13,0.10,0.01,0.19,0.39,0.05,0.47,0.76,15165.51,13190199.08,1.27,-0.42,-0.46,-0.74
 ,147.00,147.00,55079021000,9.00,17.00,0.50,18.16,25.00,34.31,49.80,55079021000,55079021000,2293.00,0.00,0.12,0.81,0.34,0.20,0.05,0.07,0.17,0.07,0.11,0.30,0.24,0.94,15895.71,13813552.67,-0.68,-0.02,1.35,-0.17
