D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,110,110,55079002700,72,51,.26498687259,271.711573088,110.4285714,192.462364271,100.2857143,55079002700,55079002700,2153,.05882352941,.19541984733,.24213406293,.16279069767,.3445945946,.47855227882,.07942405945,0,.16689466484,.36114911081,.082926829,.13022842213,.71252371917,10895.4370729,7387380.47832,1.10367665556672,-.363967883395231,-.537783387018381,1.43506539279537
 ,111,111,55079002600,146,118,.26979430592,541.15300729,107.8333333,437.370238769,91.6666667,55079002600,55079002600,2867,.00692383778,.06444906445,.35707220574,.11770524233,.47361299053,.44288577154,.00244157656,.02023020579,.18892185954,.353115727,.133289125,.10832088659,.68552354181,11648.4089615,7521403.49156,.711646507200167,-.76377383190431,-.431920744654703,-.819401411917339
 ,112,112,55079005100,132,130,.93320018478,141.448750389,67.125,139.305587505,97,55079005100,55079005100,3491,.04598405886,.13366336634,.30288166769,.11036174126,.20425029516,.32129697863,.06932111143,.02578057863,.16431637032,.33844267321,.101195559,.34446542203,.7507877399,20710.2506381,26016023.9636,.399351533340358,-.194254724386486,-.670889217735211,.213191567396456
 ,113,113,55079000301,4,7,.76725408134,5.2133968359,59.8,9.12344446283,80.6,55079000301,55079000301,1462,0,.07491082045,.90361445783,.39909638554,.11989795918,.31811145511,.05335157319,.01778385773,.03162650602,.02861445783,.285950413,.26054577336,.88312586445,21869.6874077,21389730.6193,-1.03242160157182,-.516840842481147,1.57092880882241,-.825544397052501
 ,114,114,55079110100,0,0,.02176253454,0,45.2,0,84.2,55079110100,55079110100,4200,.04162436548,.10474791973,.41015228426,.19796954315,.27812113721,.34124194493,.12952380952,.29857142857,.06903553299,.2614213198,.195905401,.46106547619,.77959183673,12355.3394086,606702.216159,-.119609893339411,.6105003635783,-.151313893141338,-.166009057533558
 ,115,115,55079017200,29,42,.18089445376,160.314478404,48.1666667,232.179589412,81.5,55079017200,55079017200,2945,.04916067146,.11041852182,.54556354916,.16666666667,.22585227273,.38085327784,.31918505942,.77521222411,.08273381295,.2170263789,.102092581,.53893756792,.94591801585,11201.8932382,5043027.76675,-.109227981117203,2.76872591982127,.756840150102826,-.288525137652483
 ,116,116,55079017100,41,77,.24939784349,164.395968408,59.6666667,308.743647987,82.3333333,55079017100,55079017100,2897,.01149425287,.08152173913,.60574712644,.1724137931,.3125884017,.3290513834,.35692095271,.76872626855,.09310344828,.1724137931,.088235294,.58027199885,.96970764354,12732.0388992,6952785.02792,-.437817997611625,3.04516141054163,.903871746223054,-.984876146592414
 ,117,117,55079002800,111,70,.25379551675,437.359971617,112,275.812594713,96.5714286,55079002800,55079002800,2294,.10447761194,.08547008547,.27487562189,.15547263682,.44134078212,.42169408897,.04054054054,.04272013949,.19651741294,.32960199005,.049268668,.31677078828,.7655904467,10674.1848892,7075384.63148,1.33367282563155,-.701639740085982,-.124206516186771,-.31020268550957
 ,118,118,55079001700,144,162,.51121912282,281.67960386,101.2857143,316.889554342,122.8571429,55079001700,55079001700,4607,.06878306878,.01111111111,.38506760729,.18518518518,.4725,.33084344849,.04471456479,.0334273931,.10934744268,.21105232216,.131646498,.43690048208,.77655354782,16691.722176,14251914.1838,.345508940786618,-.645281202659716,.0539776750601299,-1.69105701663635
 ,119,119,55079001400,99,70,.4290065529,230.765705863,118,163.167670812,130.8,55079001400,55079001400,2360,.06321112516,.09744094488,.23008849558,.23261694058,.34315789474,.33961117862,.12288135593,.02542372881,.1201011378,.27812895069,.139191291,.56065229101,.77696605071,15268.7890326,11959968.4428,.362240732881635,-.116552720021974,-.407011121507785,-.0490635783423336
 ,120,120,55079000502,162,126,.68846144059,235.307296022,87.3333333,183.016785795,108,55079000502,55079000502,4934,.04651162791,.05882352941,.24827152734,.10370835952,.45872420263,.31574158326,.07742197,.05958654236,.10622250157,.32181018228,.12633452,.46924055005,.76004077472,20189.6894881,19193126.65,.366762669881454,-.178163603351085,-.628580019442745,-.953157664932366
 ,121,121,55079120202,0,0,.01908326532,0,16,0,27,55079120202,55079120202,3062,.01817042607,.125,.52318295739,.24937343358,.18376068376,.33935289691,.08295231875,.16263879817,.01378446115,.11967418546,.234219269,.24820965451,.90101940151,3937.71577785,532008.775902,-.563563131635768,.165638022268787,.573244630668021,.0345954210272354
 ,122,122,55079004100,109,106,.55669280909,195.799188025,116.875,190.410219547,97.125,55079004100,55079004100,2641,.02713567839,.10689310689,.42010050251,.12663316583,.39301972686,.35920679887,.00265051117,.0265051117,.09447236181,.26331658291,.196797865,.27942383533,.75920899574,19592.8878684,15519642.7283,.240070709411569,-.661733749589712,-.195078591978258,-.287660002626459
 ,123,123,55079091400,0,0,.00070089749,0,16,0,32,55079091400,55079091400,2297,.00962566845,.11777944486,.62352941176,.54545454546,.07779578606,.25815217391,.04614714845,.0365694384,.01711229947,.02139037433,.554606467,.23583732184,.91747572816,1498.24333146,19539.8222914,-1.28142913642386,-.686282336694729,1.08182252392296,.678162423354858
 ,124,124,55079006100,112,91,.20094222521,557.374140174,137.4285714,452.866488892,119.8571429,55079006100,55079006100,2276,.14164305949,.12056737589,.37393767705,.19263456091,.40918580376,.48,.02680140598,.01537785589,.18130311615,.38101983003,.222506394,.23692457554,.85422222222,9534.56763771,5601925.32278,1.74407095278842,-1.0720936840686,.530537993594541,.782082927724356
 ,125,125,55079012500,15,37,.70185655942,21.3718883136,34.8571429,52.7173245069,46.8571429,55079012500,55079012500,2141,.01230769231,.09640522876,.56820512821,.41846153846,.14869281046,.26383981154,.01541335824,.04530593181,.01538461538,.08102564103,.482780213,.26793780205,.88758782201,20302.4383748,19566559.637,-1.03897116679154,-.731845551254492,.715866928787164,.116610529867797
 ,126,126,55079000304,26,68,1.29659606358,20.0525057343,96.625,52.4450149974,99,55079000304,55079000304,3278,.0197309417,.06111111111,.88251121076,.48968609866,.08,.3889105818,.09304453935,.05887736425,.066367713,.06816143498,.348805768,.65314755757,.91131782946,32216.2113348,36146879.1065,-.737815902413472,-.442937562872141,1.8775628193364,-.50457280876375
 ,127,127,55079005000,104,112,.44039024777,236.154184901,95.7142857,254.319891432,108,55079005000,55079005000,5256,.03568075117,.10553633218,.45774647887,.2220657277,.30939716312,.3388085315,.03710045662,.04090563166,.04788732394,.15211267606,.271973957,.48362348517,.88181818182,16058.6532904,12277326.3724,-.133339881737983,-.49582354360772,.430620624389049,-.116864586056918
 ,128,128,55079001600,86,94,.50888525809,168.996838941,118.7142857,184.717475121,135.7142857,55079001600,55079001600,2973,.04132231405,.10095497954,.4152892562,.16632231405,.4347133758,.22718351325,.03498150017,.06256306761,.11053719008,.26342975207,.083730429,.39694406289,.82605729877,16023.7613171,14186850.0296,.164331940752727,-.305742870562783,-.0882464450423936,-.66581160966606
 ,129,129,55079017000,124,160,.27243247733,455.158655142,79.625,587.301490506,97.875,55079017000,55079017000,5958,.05014409222,.13259668508,.41729106628,.10893371758,.28972712681,.40845783743,.1973816717,.65441423296,.12391930836,.38731988473,.069580731,.63765731836,.83725257994,11232.9743789,7594951.19519,.481298382200079,1.86753854542467,.00697038901410196,.132497588259966
 ,130,130,55079020200,27,50,.36669551654,73.6305702743,38.6,136.352907915,85,55079020200,55079020200,3535,.00905349794,.062539482,.74897119342,.26255144033,.20224719101,.30981963928,.19575671853,.32729844413,.01481481481,.11111111111,.177737882,.35120606423,.79560566638,12999.0956462,10222843.3955,-1.00853033192375,1.07713413328234,.688860043910566,-1.25264391855687
