D_R	poly_id	objectid	geoid	Violent	Property	SqMi	VCdensity	vclag	PCdensity	pclag	TractID	Id2	Total_Pop	PAIProp	OccuProp	OwnerProp	MandFHH_ch	ForeignPro	EthnHerter	HispProp	Unemployed_Fixed	Inc75K_	BAup	SSIProp	BelowProp	SameProp	Shape_Leng	Shape_Area	FAC1_1	FAC2_1	FAC3_1
 	691	691	17031823304	0	1	0.128912332	0	8.6666667	7.757209765	53.6666667	17031823304	17031823304	5887	0.011177988	0.070981979	0.600171969	0.121551081	0.090198743	0.47798772	0.254968575	0.093598141	0.280739467	0.204562	0.042992261	0.10533104	0.878990731	8399.185199	3593855.178	-0.166591844	-0.013303629	0.968537591
 	692	692	17031830500	29	66	1.588291929	18.25860818	21.4545455	41.55407379	60	17031830500	17031830500	4785	0.01119403	0.11137163	0.629664179	0.175588865	0.503657262	0.394152093	0.987042842	0.051781907	0.196828358	0.043594646	0	0.265858209	0.921197961	28915.76106	44278860.58	0.243922487	2.474727933	0.693155297
 	693	693	17031830600	28	114	0.255370794	109.6444881	26.125	446.4097016	93.375	17031830600	17031830600	4670	0.036937902	0.122679045	0.251070664	0.131421744	0.275588865	0.466574334	0.415417559	0.053315995	0.308351178	0.451200499	0.046038544	0.153104925	0.879810793	11132.44588	7119300.668	-0.359478559	0.883492099	-0.6228487
 	694	694	17031830700	83	232	0.335491313	247.3983582	26.4545455	691.5231217	84.2727273	17031830700	17031830700	3627	0.023054755	0.140208051	0.332564842	0.172541744	0.247036118	0.553443528	0.11690102	0.052763819	0.338904899	0.459071166	0.073198847	0.219596542	0.794785534	16058.15351	9352923.605	-0.261064024	0.088084178	-0.647637453
 	695	695	17031830800	9	105	0.129939555	69.26297392	11.3333333	808.0680291	66.3333333	17031830800	17031830800	2623	0.018296974	0.251676122	0.191414497	0.037037037	0.112466641	0.257113784	0.146016012	0.06037085	0.470795215	0.708707361	0.019000704	0.064039409	0.695481336	8038.536604	3622492.396	-1.377215273	-0.224684158	-1.619471223
 	696	696	17031830900	43	394	0.400660231	107.3228553	15.9	983.3768598	103.9	17031830900	17031830900	2794	0	0.242917104	0.540016168	0.151315789	0.188260558	0.325830635	0.335719399	0.00883095	0.621665319	0.656438866	0.021827001	0.03152789	0.798178506	16189.85972	11169721.51	-1.403012749	-0.057745565	-0.131524353
 	697	697	17031831000	19	118	0.108620894	174.920306	26.75	1086.347164	175.75	17031831000	17031831000	2209	0.014044944	0.33622291	0.621722846	0.046357616	0.089633318	0.214782483	0.081484835	0.023293608	0.763108614	0.854363208	0	0.02247191	0.712044301	9927.430834	3028164.616	-2.128620866	-0.993231714	-0.440248092
 	698	698	17031831100	70	272	0.507791222	137.8519301	21.5	535.6532141	96.2	17031831100	17031831100	7875	0.031204112	0.100796416	0.415198238	0.10334873	0.39631746	0.327029535	0.584634921	0.033636784	0.341409692	0.302624434	0.032305433	0.123348018	0.89539323	16171.80973	14156350.17	-0.198907069	1.387604144	0.264607102
 	699	699	17031831200	33	103	0.221990136	148.6552537	27.1428571	463.9845797	94.1428571	17031831200	17031831200	5051	0.029181495	0.086695279	0.380782918	0.180099502	0.434369432	0.580701513	0.871312611	0.050982475	0.224199288	0.167492567	0.035587189	0.235587189	0.82821342	12703.41114	6188705.055	0.217369291	2.142698722	-0.355740152
 	700	700	17031831300	31	184	0.222467398	139.3462605	62.3	827.0874819	145.6	17031831300	17031831300	1043	0.082621083	0.138888889	0.464387464	0.15037594	0.053691275	0.624710782	0.486097795	0.07032967	0.025641026	0.115220484	0.185185185	0.216524217	0.814995131	12474.20334	6202010.299	0.959165994	-0.152504478	0.270134793
